timestamp,red,ir
234760556.0,80440.39286124796,104193.9880218409
234780556.0,80439.38320740008,104184.15527688077
234800556.0,80438.69199647321,104194.01965247607
234820556.0,80438.120420171,104222.14119545436
234841556.0,80445.36482067232,104258.79535029375
234861556.0,80462.05535454598,104318.84854989822
234881556.0,80481.16713023187,104380.65823444142
234901556.0,80498.23017768246,104448.1847883355
234921556.0,80516.76418996061,104512.00762629029
234941556.0,80536.19299230758,104566.02142297276
234961556.0,80553.38168150715,104631.75021171366
234981556.0,80565.80155059593,104688.71305019602
235001556.0,80580.03739810256,104749.22103097413
235022556.0,80592.18573386788,104808.37826004223
235042556.0,80601.8558747757,104855.09320950753
235062556.0,80621.88760170614,104897.10201825238
235082556.0,80604.04860108909,104785.95444624081
235102556.0,80511.96044836674,104394.40590806364
235122556.0,80380.4556563798,103874.02271539951
235142556.0,80249.25741462376,103458.09431040738
235162556.0,80169.02499308577,103261.42609367144
235182556.0,80160.13992720208,103266.73166135787
235202556.0,80184.72264509473,103376.75032724033
235223556.0,80217.96947553917,103520.53440111679
235243556.0,80259.8130475728,103665.06358023868
235263556.0,80300.63166857927,103821.02727274213
235283556.0,80345.34193726195,103985.82515822136
235303556.0,80394.29709825228,104111.70736106276
235323556.0,80423.70277399881,104188.85240435471
235343556.0,80433.97782035581,104207.64997373092
235363556.0,80426.53584561568,104185.47343308486
235383556.0,80416.35919613249,104174.04075652287
235404556.0,80419.49171309063,104180.14145107263
235424556.0,80419.40466858521,104200.06361855016
235444556.0,80425.01196186776,104234.29484534866
235464556.0,80437.20139935284,104272.22000505509
235484556.0,80448.78696842147,104316.6511630293
235504556.0,80466.85235994591,104370.0347013043
235524556.0,80479.21211839264,104405.20442434268
235544556.0,80485.88883387188,104434.71617882415
235564556.0,80496.27517965986,104476.30023512681
235585556.0,80500.23000507946,104504.84227876042
235605556.0,80500.84670591215,104550.87963657512
235625556.0,80519.16237158682,104611.18942141543
235645556.0,80534.50059954019,104650.60494703946
235665556.0,80546.35829043385,104709.59203932551
235685556.0,80566.86218222282,104716.06792084777
235705556.0,80524.07781401966,104477.26278511356
235725556.0,80398.69339197282,103987.74844258573
235745556.0,80252.61956188992,103480.21469974749
235765556.0,80133.79788737629,103156.70996860553
235786556.0,80085.55159219867,103066.92780483907
235806556.0,80106.14341395181,103155.45110508884
235826556.0,80147.80826707472,103309.1575378459
235846556.0,80192.5368883847,103472.75438515378
235866556.0,80244.82074641717,103632.3513884231
235886556.0,80288.05474010299,103780.90664450818
235906556.0,80326.32162101587,103911.26252014225
235926556.0,80352.0335102718,103965.13865583675
235946556.0,80345.40516561404,103950.38003211326
235967556.0,80336.82796251692,103908.28124962565
235987556.0,80323.0417202753,103849.35587481604
236007556.0,80300.78711719449,103811.34102035008
236027556.0,80301.62380791108,103810.84259497715
236047556.0,80320.19629404855,103866.27104968546
236067556.0,80349.54122867773,103960.23289934034
236087556.0,80380.0009044301,104058.55997381677
236107556.0,80400.9020761991,104154.89629613911
236127556.0,80419.10501280554,104218.59376693565
236147556.0,80437.1351261518,104284.36490354786
236168556.0,80453.88923627089,104369.35899397978
236188556.0,80468.79138317797,104433.64081293822
236208556.0,80489.51273409389,104498.4581253659
236228556.0,80514.69271737666,104561.94382642317
236248556.0,80535.8486144475,104624.34663210603
236268556.0,80550.17279718033,104689.38704093876
236288556.0,80544.92239376101,104615.47680390565
236308556.0,80477.56759312178,104268.27225294121
236328556.0,80334.02764675628,103752.7462408176
236349556.0,80190.51169909805,103310.27778205958
236369556.0,80105.77982088727,103075.12475062531
236389556.0,80079.80567443371,103035.38531936263
236409556.0,80105.4160504094,103131.09767599899
236429556.0,80151.32576359264,103272.07677369984
236449556.0,80189.76738888533,103398.65486048747
236469556.0,80229.09599597527,103524.39564089064
236489556.0,80271.54040523224,103656.45531488245
236509556.0,80302.19802580943,103757.703325157
236530556.0,80314.10044249585,103793.15013269373
236550556.0,80311.57022295246,103781.35840451243
236570556.0,80307.603987188,103763.15137788476
236590556.0,80303.78342796348,103761.40726481925
236610556.0,80309.03886075359,103772.2442507027
236630556.0,80324.30667535153,103795.42047291133
236650556.0,80335.01200574811,103842.15430552486
236670556.0,80353.47858912658,103896.12564597331
236690556.0,80370.04511241561,103950.20964039094
236710556.0,80379.05292224509,103998.5854710371
236731556.0,80391.68867677252,104049.53550549255
236751556.0,80401.16753194769,104114.9599310471
236771556.0,80420.97554306377,104178.36166105488
236791556.0,80442.8624994952,104245.50583014436
236811556.0,80460.94540152093,104311.28357831502
236831556.0,80489.9303279217,104383.41865225775
236851556.0,80493.01720136107,104353.8832626946
236871556.0,80422.16608870312,104033.624398914
236891556.0,80285.40456882922,103529.43973387982
236912556.0,80143.10943408778,103092.92229582612
236932556.0,80049.55662090202,102850.09210397721
236952556.0,80025.07337786233,102816.24227973918
236972556.0,80054.8560304381,102914.67492174634
236992556.0,80102.91912187546,103062.36535531507
237012556.0,80149.35273351568,103209.72955103079
237032556.0,80191.3749243175,103356.78057168242
237052556.0,80233.14270657516,103505.58429050821
237072556.0,80268.42290134233,103609.94371706908
237093556.0,80285.74467676245,103657.7623649422
237113556.0,80285.39591168065,103671.17041938902
237133556.0,80285.70206961033,103673.34055846848
237153556.0,80296.49638912175,103687.69894829315
237173556.0,80306.41938488283,103712.61576478931
237193556.0,80319.54871115199,103749.3759080084
237213556.0,80331.84494613335,103793.19515416666
237233556.0,80340.58381465633,103830.39247318197
237253556.0,80354.13395421056,103875.50537247377
237273556.0,80364.96732115961,103924.6720560953
237294556.0,80376.33665062097,103978.11933034024
237314556.0,80392.23907418677,104041.20341042482
237334556.0,80406.06926986031,104104.014871654
237354556.0,80425.54353011164,104178.53150525995
237374556.0,80457.22421988855,104254.93674862778
237394556.0,80483.08179868589,104339.7190349962
237414556.0,80487.5994891056,104334.89460924467
237434556.0,80432.97679209831,104047.86527043952
237454556.0,80298.45964072464,103562.65244166338
237475556.0,80161.32555797734,103121.99732307317
237495556.0,80075.6887746753,102859.62607615732
237515556.0,80042.39313514974,102803.77742922868
237535556.0,80058.11107743855,102880.04078209789
237555556.0,80090.01682640497,102996.39964335467
237575556.0,80125.50349639554,103106.87403785416
237595556.0,80165.50010479914,103226.01773052214
237615556.0,80202.6654109897,103349.90677459296
237635556.0,80230.31500632173,103447.77951927189
237655556.0,80243.95535609148,103507.46582642627
237676556.0,80246.46194479543,103503.35455271273
237696556.0,80237.69759124858,103476.81856777561
237716556.0,80233.67457236814,103469.74499801267
237736556.0,80238.16756921503,103480.42901020232
237756556.0,80250.1278024323,103520.98625146964
237776556.0,80270.928376492,103565.18898083192
237796556.0,80278.93775367537,103602.94066300942
237816556.0,80284.43162327155,103641.82051768436
237836556.0,80298.31009346907,103677.44315049173
237857556.0,80305.90959465527,103716.54478493598
237877556.0,80309.9618264331,103753.69422293009
237897556.0,80318.18862743693,103788.85615518223
237917556.0,80335.50581945776,103834.05909554166
237937556.0,80352.28108861153,103895.14858605532
237957556.0,80365.05276422497,103947.9982168133
237977556.0,80385.00015153925,103989.46087667531
237997556.0,80389.23841398404,103984.22498517862
238017556.0,80336.09921731644,103752.8878542257
238038556.0,80211.8923998888,103265.4390617016
238058556.0,80062.69247401263,102769.85735401216
238078556.0,79959.53253951806,102468.77384507132
238098556.0,79917.83079455644,102389.0546824081
238118556.0,79927.43496405621,102448.35143138753
238138556.0,79965.45051793884,102557.16341036758
238158556.0,79994.65150153571,102656.71015761314
238178556.0,80017.41294399048,102740.81593923656
238198556.0,80040.89237171083,102846.86475246967
238218556.0,80063.8599896261,102946.64231922952
238239556.0,80087.75431590679,103012.5903558712
238259556.0,80101.4936495258,103038.80872517712
238279556.0,80101.14612170879,103035.78005677616
238299556.0,80101.78029476252,103042.61411734321
238319556.0,80107.21681559357,103052.50005964906
238339556.0,80113.10524740169,103077.61068421538
238359556.0,80129.42156543213,103126.06136457843
238379556.0,80141.43569673049,103168.41727716244
238399556.0,80144.25946810396,103202.12353803754
238420556.0,80153.45824867097,103251.45804262381
238440556.0,80167.46189454463,103316.31585653484
238460556.0,80185.20801799599,103371.64915443675
238480556.0,80200.73010738267,103429.5847468737
238500556.0,80219.58912336403,103479.51084058432
238520556.0,80240.737898438,103525.70061467381
238540556.0,80257.331213267,103592.11671614397
238560556.0,80273.21243833646,103643.5791541978
238580556.0,80280.78752588222,103685.43063821134
238601556.0,80286.7028491249,103717.84678940705
238621556.0,80275.68427377073,103634.22543706225
238641556.0,80203.78030734046,103306.77016807138
238661556.0,80067.05093661064,102805.77829241019
238681556.0,79934.01279203492,102391.98151769431
238701556.0,79868.00658564571,102205.41995057464
238721556.0,79854.30109535943,102213.69317095389
238741556.0,79882.78637545263,102323.53389049137
238761556.0,79922.35773196898,102445.14431875083
238781556.0,79944.55356522326,102550.77661281267
238802556.0,79979.57964852027,102662.27548591906
238822556.0,80016.07241915824,102792.65022035677
238842556.0,80047.46765001115,102900.1469632173
238862556.0,80073.03833290644,102960.6410715096
238882556.0,80078.86691992357,102981.05774406999
238902556.0,80082.69593556925,102977.7212351877
238922556.0,80083.34675681013,102980.02336205464
238942556.0,80081.66403971001,102990.66257695771
238962556.0,80087.53701448643,103028.37235642844
238983556.0,80099.14867213448,103084.35630037471
239003556.0,80111.09672119719,103127.74436072273
239023556.0,80123.15133078175,103175.54995285552
239043556.0,80145.2992244502,103236.61551307725
239063556.0,80167.21403131339,103311.8145103231
239083556.0,80189.62948697184,103389.63339789794
239103556.0,80217.6488775046,103456.3352900784
239123556.0,80233.49479261192,103517.84966673484
239143556.0,80245.17842239913,103580.95268783627
239164556.0,80261.40226019287,103651.4337979363
239184556.0,80271.35297287792,103726.71293381888
239204556.0,80288.72307377789,103793.86217134388
239224556.0,80320.891541733,103855.96961407593
239244556.0,80350.43909200774,103956.67528211608
239264556.0,80380.01571870428,104065.14462217118
239284556.0,80405.77487401398,104130.11260496495
239304556.0,80425.20459547456,104213.1369973319
239324556.0,80434.22606477326,104213.11721302755
239344556.0,80375.86825094465,103906.14677439642
239365556.0,80235.00468141394,103389.32366623651
239385556.0,80088.3915222995,102938.5126459232
239405556.0,80005.1736142277,102698.08570474821
239425556.0,79991.08151303348,102678.43996756381
239445556.0,80017.39645618344,102760.11557012446
239465556.0,80050.04109749838,102854.7744228801
239485556.0,80075.78612866293,102952.59186928085
239505556.0,80107.40338073325,103046.41379594212
239525556.0,80143.6767658297,103156.10238043271
239546556.0,80170.05848092759,103249.26849914732
239566556.0,80182.82696375351,103293.13048125019
239586556.0,80189.5762440544,103302.22555318932
239606556.0,80188.2067087841,103278.12870090411
239626556.0,80179.4422986275,103239.69951110898
239646556.0,80179.0623245882,103222.34789044055
239666556.0,80181.84428572592,103239.48790498347
239686556.0,80188.91674040776,103280.66887513635
239706556.0,80208.73493109085,103348.28998812268
239727556.0,80225.5323798632,103429.17133974776
239747556.0,80246.7559145937,103507.03151927544
239767556.0,80275.2303368215,103586.79575351949
239787556.0,80293.2019141348,103654.39312278881
239807556.0,80313.26660893526,103704.99341746885
239827556.0,80330.74013437558,103745.4454521233
239847556.0,80339.0686081163,103788.6796722527
239867556.0,80359.24953563028,103846.83343327622
239887556.0,80383.62413999691,103911.62565473586
239907556.0,80396.82876224168,103973.03124633688
239928556.0,80403.88386070158,104041.29977972906
239948556.0,80421.18942798633,104122.51317573019
239968556.0,80447.30474277053,104209.22422298105
239988556.0,80476.3639613225,104304.30311782371
240008556.0,80493.7266530951,104296.4656213798
240028556.0,80437.59030677698,104022.45053775629
240048556.0,80314.87109391879,103557.26619023629
240068556.0,80192.10259912192,103140.2840873327
240088556.0,80106.8736825777,102912.46079576762
240109556.0,80082.58817368752,102874.16789431401
240129556.0,80097.06616201397,102949.09464740733
240149556.0,80123.52246222521,103050.7372854155
240169556.0,80158.79825823213,103160.13795189993
240189556.0,80201.38690419323,103295.18706620114
240209556.0,80252.34242070542,103436.19489488326
240229556.0,80290.17017291661,103539.15424749604
240249556.0,80300.80053635634,103575.19658117097
240269556.0,80303.9021424235,103573.00305675284
240290556.0,80298.95983753701,103561.2100999086
240310556.0,80288.96005035902,103539.60029997386
240330556.0,80291.95583707097,103542.36091542151
240350556.0,80299.09032953125,103581.08432357377
240370556.0,80317.85761848572,103641.79973597453
240390556.0,80345.17337372783,103717.37089192239
240410556.0,80369.28534469768,103786.93910376764
240430556.0,80392.3483159495,103852.43623655042
240450556.0,80405.32554414806,103914.04255520114
240470556.0,80424.13269861232,103971.41715245176
240491556.0,80443.25604514562,104039.45308466854
240511556.0,80456.09175464099,104101.9620243621
240531556.0,80473.62397657812,104157.98840131052
240551556.0,80487.27492000288,104220.00348657316
240571556.0,80509.17414951019,104271.12954410055
240591556.0,80526.89056463439,104309.27381944544
240611556.0,80536.48780035332,104351.16679011514
240631556.0,80540.43802666846,104334.19696066933
240651556.0,80487.87677909946,104101.3774729703
240672556.0,80372.29825555507,103670.53831501029
240692556.0,80248.53458240593,103260.55467314152
240712556.0,80162.93823749179,103013.87221311941
240732556.0,80136.21271603805,102960.19230456991
240752556.0,80163.02879400694,103036.16885374872
240772556.0,80196.13929746393,103146.3718277968
240792556.0,80222.40442772239,103248.562338476
240812556.0,80261.81844893278,103348.52749265633
240832556.0,80294.2459195731,103475.50605980438
240853556.0,80330.18530368095,103606.13865257206
240873556.0,80366.65383283654,103699.54881058852
240893556.0,80377.70262736006,103742.67311233551
240913556.0,80381.14730365762,103750.0491643277
240933556.0,80385.4667501169,103756.74198228068
240953556.0,80393.56893043147,103775.49626155088
240973556.0,80411.09613291165,103821.65021380968
240993556.0,80429.21796991209,103884.28647862474
241013556.0,80442.46984495454,103946.04548223014
241033556.0,80461.51992663713,104014.75853804682
241054556.0,80480.4340604918,104085.78707858878
241074556.0,80493.22333781194,104157.2808809373
241094556.0,80509.91405030334,104217.75489504835
241114556.0,80532.02733494603,104282.93306485651
241134556.0,80564.94177010277,104357.97259976692
241154556.0,80583.83340978173,104415.13809164413
241174556.0,80592.0426972625,104477.20471657031
241194556.0,80613.41301452082,104549.86278762843
241214556.0,80630.30897525963,104600.31074763203
241235556.0,80638.1490190049,104638.76553522279
241255556.0,80642.2788592786,104687.83601118787
241275556.0,80644.85279249486,104644.57932626497
241295556.0,80592.30039193397,104363.35399269083
241315556.0,80465.07444110977,103900.1327796849
241335556.0,80341.61737740622,103471.67900761124
241355556.0,80264.50216336243,103233.81961900764
241375556.0,80241.0665045561,103186.67446096454
241395556.0,80254.78488274074,103264.14300260556
241415556.0,80283.90928112119,103374.42597046799
241436556.0,80314.71878139075,103464.88510883365
241456556.0,80336.86545918664,103580.08765251088
241476556.0,80372.12580218482,103719.55080022705
241496556.0,80418.88055381677,103848.84303650277
241516556.0,80457.58665330861,103954.41301631983
241536556.0,80479.63381471495,104010.59200397131
241556556.0,80488.78345918005,104025.98694977074
241576556.0,80491.343135358,104032.22814251976
241596556.0,80488.36481453216,104045.98541200889
241617556.0,80495.18298341447,104072.39191258259
241637556.0,80507.50594261539,104117.4504489662
241657556.0,80521.3401849271,104181.09775653521
241677556.0,80542.76960862172,104256.72614287982
241697556.0,80563.80867028062,104324.60558843217
241717556.0,80582.00937936325,104367.61236587618
241737556.0,80598.71453004888,104413.52636159013
241757556.0,80612.41134901319,104470.55555494681
241777556.0,80626.70841532065,104530.88299394355
241798556.0,80643.97736638701,104598.58399365384
241818556.0,80653.12822768692,104652.21640505518
241838556.0,80666.99655772388,104706.69432441164
241858556.0,80687.6562137825,104777.61092359334
241878556.0,80705.20804205543,104833.21765459413
241898556.0,80728.52006359227,104884.91207276516
241918556.0,80741.11932856514,104938.83348838268
241938556.0,80750.5282146385,104983.80395532635
241958556.0,80769.26616781727,105036.27625988396
241978556.0,80760.51925707153,104974.82703696232
241999556.0,80682.07296200933,104642.54050354182
242019556.0,80547.20286799906,104136.13973032805
242039556.0,80414.1441836918,103701.39506177722
242059556.0,80330.56323830271,103475.82873750804
242079556.0,80315.19417004057,103433.18164555478
242099556.0,80336.57600739654,103501.332475025
242119556.0,80361.49337159212,103600.30463179157
242139556.0,80380.18286888309,103677.6590007316
242159556.0,80402.85235388548,103755.96166335874
242180556.0,80432.61689041893,103853.04010162246
242200556.0,80451.57501060644,103953.85369810413
242220556.0,80475.22116890832,104028.87245755627
242240556.0,80495.10821972296,104073.41049953795
242260556.0,80504.03012007162,104099.35442882353
242280556.0,80511.50867869581,104112.2172606877
242300556.0,80515.25076545801,104129.87655884723
242320556.0,80532.01808120866,104161.07718347592
242340556.0,80541.23736009195,104211.49971659124
